Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__static-lossless-rate__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__intermediate-rate__random-balanced__g4__c1__p100__b16__s1,57,400,550,1200,550,985,49.24999999999934,550,495,0,0,0,0,10,16,6.666666666666667|0|0|0,red:57
smoke__member-formula-rate__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__sequential-smart-recovery__random-balanced__g4__c1__p100__b16__s1,64,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:64
smoke__phase-offset-smart-recovery__random-balanced__g4__c1__p100__b16__s1,55,400,690,1200,690,1294,64.69999999999847,690,622,3,0,0,0,10,16,10|0|0|0,red:55
smoke__no-recovery-max-rate__random-balanced__g4__c2__p100__b16__s1,18,800,0,1056,968,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__random-balanced__g4__c2__p100__b16__s1,55,800,1218,2400,1218,2028,101.39999999999638,1218,820,0,0,0,0,10,16,10|10|0|0,red:55|green:45
smoke__static-lossless-rate__random-balanced__g4__c2__p100__b16__s1,36,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:36|green:36
smoke__intermediate-rate__random-balanced__g4__c2__p100__b16__s1,57,800,958,2400,958,1467,73.34999999999798,958,569,0,0,0,0,10,16,6.666666666666667|6.666666666666667|0|0,red:57|green:46
smoke__member-formula-rate__random-balanced__g4__c2__p100__b16__s1,36,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:36|green:36
smoke__sequential-smart-recovery__random-balanced__g4__c2__p100__b16__s1,64,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:64|green:64
smoke__phase-offset-smart-recovery__random-balanced__g4__c2__p100__b16__s1,55,800,1206,2400,1206,1974,98.69999999999654,1206,786,10,0,0,0,10,16,10|10|0|0,red:55|green:42
smoke__no-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,19,800,0,1172,1776,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,94,800,3479,5600,3481,5549,277.4500000000288,3479,2213,0,0,0,0,10,16,10|0|0|0,red:94
smoke__static-lossless-rate__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__intermediate-rate__random-balanced__g8__c1__p100__b16__s1,118,800,3319,5600,3324,5887,294.35000000003265,3319,3158,0,0,0,0,10,16,5.714285714285714|0|0|0,red:118
smoke__member-formula-rate__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__sequential-smart-recovery__random-balanced__g8__c1__p100__b16__s1,128,800,0,5600,0,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:128
smoke__phase-offset-smart-recovery__random-balanced__g8__c1__p100__b16__s1,94,800,3521,5600,3521,5668,283.40000000003016,3521,2379,7,0,0,0,10,16,10|0|0|0,red:94
smoke__no-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,19,1600,0,1546,3682,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,302,1600,16477,11200,18817,26460,1322.9999999993445,16477,14559,0,0,0,0,10,16,10|10|0|0,red:181|green:302
smoke__static-lossless-rate__random-balanced__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__intermediate-rate__random-balanced__g8__c2__p100__b16__s1,307,1600,14519,11200,16960,24261,1213.0499999994445,14519,15053,0,0,0,0,10,16,5.357142857142857|5.357142857142857|0|0,red:287|green:307
smoke__member-formula-rate__random-balanced__g8__c2__p100__b16__s1,408,1600,8800,11200,9483,12110,605.499999999997,8800,7431,0,0,0,0,10,16,1.4285714285714286|1.4285714285714286|0|0,red:340|green:408
smoke__sequential-smart-recovery__random-balanced__g8__c2__p100__b16__s1,419,1600,3194,11200,3606,6989,349.4500000000452,3194,3795,0,0,0,0,10,16,10|10|0|0,red:394|green:419
smoke__phase-offset-smart-recovery__random-balanced__g8__c2__p100__b16__s1,306,1600,15041,11200,17326,24937,1246.8499999994137,15041,14316,22,0,0,0,10,16,10|10|0|0,red:288|green:306
