Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Report Retries,Drops Per Block,Repairs Per Block,Avg Original TX Complete Tick,Avg Post TX Tail Ticks,Avg Recovery Tail Ticks,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.000000,0.000000,50.00,6.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=adaptive-advisor-overdrive, collectiveCount=1",6,6,1.0000,56.17,75,76,78,3.17,3.17,3.17,0.00,0.003958,0.003958,50.00,6.17,2.50,0.00,598.67,70
policy+collectiveCount,"policy=advisor-overdrive-a1.05, collectiveCount=1",6,6,1.0000,59.33,73,78,79,128.50,128.50,130.33,1.83,0.179583,0.179583,48.00,11.33,11.33,0.00,634.33,58
policy+collectiveCount,"policy=advisor-overdrive-a1.10, collectiveCount=1",6,6,1.0000,61.00,70,80,83,264.17,264.17,312.33,48.67,0.380625,0.380625,46.00,15.00,15.00,0.00,637.33,61
policy+collectiveCount,"policy=advisor-overdrive-a1.20, collectiveCount=1",6,6,1.0000,65.33,66,83,88,501.17,501.17,633.83,136.33,0.732292,0.732292,42.00,23.33,23.33,0.00,703.33,61
policy+collectiveCount,"policy=advisor-overdrive-a1.35, collectiveCount=1",6,6,1.0000,69.50,59,88,99,803.83,803.83,1223.33,435.50,1.175208,1.175208,37.50,32.00,32.00,0.00,714.67,68
policy+collectiveCount,"policy=max-rate-recovery, collectiveCount=1",6,6,1.0000,73.50,70,96,118,2400.83,2398.17,3752.17,1420.17,3.433542,3.430208,10.00,63.50,63.50,0.00,729.83,53
policy+collectiveCount,"policy=advisor-overdrive-a1.50, collectiveCount=1",6,6,1.0000,73.67,54,103,107,1004.83,1004.83,1617.33,670.67,1.477708,1.477708,33.50,40.17,40.17,0.00,723.00,78
policy+collectiveCount,"policy=advisor-overdrive-a2.00, collectiveCount=1",6,6,1.0000,78.50,48,117,121,1545.67,1545.33,2733.00,1377.00,2.261250,2.260833,25.00,53.50,53.50,0.00,726.33,84
policy+collectiveCount,"policy=advisor-exact-lossless, collectiveCount=2",6,6,1.0000,79.33,144,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,73.33,6.17,0.00,0.00,758.83,
policy+collectiveCount,"policy=per-source-lossless, collectiveCount=2",6,6,1.0000,79.33,144,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,73.33,6.17,0.00,0.00,758.83,
policy+collectiveCount,"policy=adaptive-advisor-overdrive, collectiveCount=2",6,6,1.0000,80.67,144,146,148,10.67,10.67,10.67,0.00,0.007083,0.007083,73.33,8.33,7.67,0.00,766.50,141
policy+collectiveCount,"policy=advisor-overdrive-a1.05, collectiveCount=2",6,6,1.0000,83.00,139,147,152,342.17,342.17,344.67,52.17,0.233125,0.233125,70.33,12.83,12.83,0.00,797.50,122
policy+collectiveCount,"policy=advisor-overdrive-a1.10, collectiveCount=2",6,6,1.0000,89.25,133,151,162,653.83,651.83,741.50,195.00,0.458437,0.457188,67.33,24.83,24.83,0.00,839.00,123
policy+collectiveCount,"policy=advisor-overdrive-a1.20, collectiveCount=2",6,6,1.0000,92.67,122,153,160,1339.33,1324.33,1587.33,540.00,0.941667,0.932292,61.33,32.83,32.83,0.00,942.17,125
policy+collectiveCount,"policy=advisor-overdrive-a1.35, collectiveCount=2",6,6,1.0000,117.67,110,176,234,2420.00,2177.83,3178.33,1480.00,1.683646,1.532292,54.83,66.00,66.00,0.00,1073.17,170
policy+collectiveCount,"policy=max-rate-recovery, collectiveCount=2",6,6,1.0000,126.83,85,288,295,8937.33,8033.50,12777.50,6508.00,6.002708,5.437812,10.00,127.83,127.83,0.00,1773.83,163
policy+collectiveCount,"policy=advisor-overdrive-a1.50, collectiveCount=2",6,6,1.0000,148.33,99,226,353,3084.00,2906.00,4401.83,2247.33,2.145417,2.034167,49.17,109.83,109.83,0.00,1218.17,196
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=2",6,6,1.0000,167.58,77,343,464,3603.00,3262.00,4713.83,2953.00,2.251875,2.038750,50.00,126.00,122.17,0.00,1482.83,230
policy+collectiveCount,"policy=advisor-overdrive-a2.00, collectiveCount=2",6,6,1.0000,175.25,80,343,464,5058.00,4717.00,6987.50,3879.33,3.475729,3.262604,36.67,148.00,148.00,0.00,1598.50,230
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=1",6,0,0.0000,,18,19,19,1136.00,0.00,0.00,0.00,1.791667,0.000000,10.00,0.00,0.00,0.00,200.00,
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=2",6,0,0.0000,,18,19,19,2339.00,0.00,0.00,0.00,1.825208,0.000000,10.00,0.00,0.00,0.00,344.83,
policy+overdriveAlpha,"policy=advisor-exact-lossless, overdriveAlpha=",12,12,1.0000,71.56,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,61.67,6.08,0.00,0.00,672.50,
policy+overdriveAlpha,"policy=per-source-lossless, overdriveAlpha=",12,12,1.0000,71.56,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,61.67,6.08,0.00,0.00,672.50,
policy+overdriveAlpha,"policy=adaptive-advisor-overdrive, overdriveAlpha=1.2",12,12,1.0000,72.50,76,146,147,6.92,6.92,6.92,0.00,0.005521,0.005521,61.67,7.25,5.08,0.00,682.58,141
policy+overdriveAlpha,"policy=advisor-overdrive-a1.05, overdriveAlpha=1.05",12,12,1.0000,75.11,74,146,151,235.33,235.33,237.50,27.00,0.206354,0.206354,59.17,12.08,12.08,0.00,715.92,122
policy+overdriveAlpha,"policy=advisor-overdrive-a1.10, overdriveAlpha=1.1",12,12,1.0000,79.83,71,148,161,459.00,458.00,526.92,121.83,0.419531,0.418906,56.67,19.92,19.92,0.00,738.17,123
policy+overdriveAlpha,"policy=advisor-overdrive-a1.20, overdriveAlpha=1.2",12,12,1.0000,83.56,68,152,159,920.25,912.75,1110.58,338.17,0.836979,0.832292,51.67,28.08,28.08,0.00,822.75,125
policy+overdriveAlpha,"policy=advisor-overdrive-a1.35, overdriveAlpha=1.35",12,12,1.0000,101.61,60,165,233,1611.92,1490.83,2200.83,957.75,1.429427,1.353750,46.17,49.00,49.00,0.00,893.92,170
policy+overdriveAlpha,"policy=max-rate-recovery, overdriveAlpha=",12,12,1.0000,109.06,81,282,295,5669.08,5215.83,8264.83,3964.08,4.718125,4.434010,10.00,95.67,95.67,0.00,1251.83,163
policy+overdriveAlpha,"policy=advisor-overdrive-a1.50, overdriveAlpha=1.5",12,12,1.0000,123.44,78,186,278,2044.42,1955.42,3009.58,1459.00,1.811562,1.755937,41.33,75.00,75.00,0.00,970.58,196
policy+overdriveAlpha,"policy=member-formula-rate, overdriveAlpha=",12,12,1.0000,130.39,76,304,432,1801.50,1631.00,2356.92,1476.50,1.125938,1.019375,50.00,66.00,61.08,0.00,1034.50,230
policy+overdriveAlpha,"policy=advisor-overdrive-a2.00, overdriveAlpha=2",12,12,1.0000,143.00,77,304,432,3301.83,3131.17,4860.25,2628.17,2.868490,2.761719,30.83,100.75,100.75,0.00,1162.42,230
policy+overdriveAlpha,"policy=no-recovery-max-rate, overdriveAlpha=",12,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,1.808437,0.000000,10.00,0.00,0.00,0.00,272.42,
