Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__advisor-overdrive-a1.50__rack-compact__g8__c2__p100__b16__s1,83,1600,3621,11200,3621,5122,256.10000000002395,3621,1659,0,0,0,0,2.263125,2.263125,47,36,36,83,10,16,2.142857142857143|2.142857142857143|0|0,red:82|green:83
smoke__advisor-overdrive-a2.00__rack-compact__g8__c2__p100__b16__s1,84,1600,5711,11200,5711,8914,445.70000000006706,5711,3789,0,0,0,0,3.569375,3.569375,35,49,49,84,10,16,2.857142857142857|2.857142857142857|0|0,red:84|green:84
smoke__per-source-lossless__rack-compact__g8__c2__p100__b16__s1,76,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|1.4285714285714286|0|0,red:76|green:76
smoke__adaptive-advisor-overdrive__rack-compact__g8__c2__p100__b16__s1,76,1600,12,11200,12,12,0.6,12,0,0,0,0,0,0.0075,0.0075,70,6,6,75,10,16,1.4285714285714286|1.4285714285714286|0|0,red:76|green:75
smoke__max-rate-recovery__rack-compact__g8__c2__p100__b16__s1,85,1600,9748,11200,9762,14244,712.1999999999,9748,4638,0,0,0,0,6.10125,6.0925,10,75,75,85,10,16,10|10|0|0,red:85|green:85
smoke__member-formula-rate__rack-compact__g8__c2__p100__b16__s1,76,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|1.4285714285714286|0|0,red:76|green:76
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,19,1600,0,2688,2960,0,0,0,0,0,0,0,0,1.85,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__advisor-exact-lossless__global-spread__g4__c1__p100__b16__s1,37,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,10,16,3.3333333333333335|0|0|0,red:37
smoke__advisor-overdrive-a1.05__global-spread__g4__c1__p100__b16__s1,44,400,32,1200,32,36,1.800000000000001,32,4,0,0,0,0,0.08,0.08,29,15,15,44,10,16,3.5000000000000004|0|0|0,red:44
smoke__advisor-overdrive-a1.10__global-spread__g4__c1__p100__b16__s1,46,400,84,1200,84,117,5.849999999999987,84,33,0,0,0,0,0.21,0.21,28,18,18,46,10,16,3.666666666666667|0|0|0,red:46
smoke__advisor-overdrive-a1.20__global-spread__g4__c1__p100__b16__s1,51,400,176,1200,176,292,14.600000000000072,176,116,0,0,0,0,0.44,0.44,25,26,26,51,10,16,4|0|0|0,red:51
smoke__advisor-overdrive-a1.35__global-spread__g4__c1__p100__b16__s1,56,400,287,1200,287,511,25.550000000000228,287,224,0,0,0,0,0.7175,0.7175,23,33,33,56,10,16,4.500000000000001|0|0|0,red:56
smoke__advisor-overdrive-a1.50__global-spread__g4__c1__p100__b16__s1,61,400,376,1200,376,714,35.70000000000011,376,338,0,0,0,0,0.94,0.94,20,41,41,61,10,16,5|0|0|0,red:61
smoke__advisor-overdrive-a2.00__global-spread__g4__c1__p100__b16__s1,56,400,578,1200,578,1086,54.29999999999905,578,508,0,0,0,0,1.445,1.445,15,41,41,56,10,16,6.666666666666667|0|0|0,red:56
smoke__per-source-lossless__global-spread__g4__c1__p100__b16__s1,37,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,10,16,3.3333333333333335|0|0|0,red:37
smoke__adaptive-advisor-overdrive__global-spread__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__max-rate-recovery__global-spread__g4__c1__p100__b16__s1,52,400,776,1200,776,1650,82.49999999999746,776,874,0,0,0,0,1.94,1.94,10,42,42,52,10,16,10|0|0|0,red:52
smoke__member-formula-rate__global-spread__g4__c1__p100__b16__s1,37,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,10,16,3.3333333333333335|0|0|0,red:37
smoke__no-recovery-max-rate__global-spread__g4__c1__p100__b16__s1,17,400,0,424,776,0,0,0,0,0,0,0,0,1.94,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
