dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
payload,adaptive-lhs-08||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-08||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-08||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-09,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
placement,adaptive-lhs-09||random-balanced,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
profile,adaptive-lhs-09||4,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
payload,adaptive-lhs-09||100,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
buffer,adaptive-lhs-09||16,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
capacity,adaptive-lhs-09||10,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
overall,adaptive-lhs-10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-10||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
profile,adaptive-lhs-10||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-10||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-10||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-10||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-11,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
placement,adaptive-lhs-11||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
